Title,Date
"Virgin River: Season 2: Out of the Past","12/30/20"
"House of Cards: Season 5: Chapter 55","12/30/20"
"Breaking Bad: Season 1: A No-Rough-Stuff-Type Deal","12/30/20"
"Virgin River: Season 2: Can’t Let Go","12/29/20"
"House of Cards: Season 5: Chapter 54","12/29/20"
"House of Cards: Season 5: Chapter 53","12/29/20"
"Virgin River: Season 2: Rumor Has It","12/23/20"
"Breaking Bad: Season 1: Crazy Handful of Nothin'","12/23/20"
"House of Cards: Season 4: Chapter 52","12/23/20"
"Schitt's Creek: Season 3: The Affair","12/22/20"
"House of Cards: Season 4: Chapter 51","12/22/20"
"Virgin River: Season 2: The Morning After","12/22/20"
"House of Cards: Season 4: Chapter 50","12/21/20"
"House of Cards: Season 4: Chapter 49","12/21/20"
"House of Cards: Season 4: Chapter 48","12/21/20"
"Virgin River: Season 2: Taken by Surprise","12/21/20"
"Virgin River: Season 2: New Beginnings","12/21/20"
"Schitt's Creek: Season 3: Motel Review","12/12/20"
"House of Cards: Season 4: Chapter 47","12/12/20"
"The Prom","12/12/20"
"House of Cards: Season 4: Chapter 46","12/11/20"
"House of Cards: Season 4: Chapter 45","12/11/20"
"Breaking Bad: Season 1: Gray Matter","12/9/20"
"House of Cards: Season 4: Chapter 44","12/9/20"
"House of Cards: Season 4: Chapter 43","12/9/20"
"House of Cards: Season 4: Chapter 42","12/5/20"
"House of Cards: Season 4: Chapter 41","12/5/20"
"Breaking Bad: Season 1: Cancer Man","12/5/20"
"Schitt's Creek: Season 3: General Store","12/2/20"
"Schitt's Creek: Season 3: Murder Mystery","12/2/20"
"House of Cards: Season 4: Chapter 40","12/2/20"
"The Queen's Gambit: Limited Series: Openings","12/2/20"
"The Queen's Gambit: Limited Series: End Game","12/2/20"
"The Queen's Gambit: Limited Series: Adjournment","12/1/20"
"Breaking Bad: Season 1: And the Bag's in the River","12/1/20"
"House of Cards: Season 3: Chapter 39","11/28/20"
"House of Cards: Season 3: Chapter 38","11/28/20"
"The Queen's Gambit: Limited Series: Fork","11/28/20"
"House of Cards: Season 3: Chapter 37","11/21/20"
"The Queen's Gambit: Limited Series: Middle Game","11/21/20"
"House of Cards: Season 3: Chapter 36","11/20/20"
"The Queen's Gambit: Limited Series: Doubled Pawns","11/20/20"
"When Calls the Heart: Season 5: My Heart Is Yours","11/8/20"
"The Queen's Gambit: Limited Series: Exchanges","11/7/20"
"Schitt's Creek: Season 3: Rooms by the Hour","11/6/20"
